Country;cardiovasc_death_rate;cardiovasc_death_rate_rank
Uzbekistan;724.417;1
Afghanistan;597.029;2
Papua New Guinea;561.494;3
Azerbaijan;559.812;4
Marshall Islands;557.793;5
Vanuatu;546.3;6
Ukraine;539.849;7
Turkmenistan;536.783;8
Egypt;525.432;9
Georgia;496.218;10
Yemen;495.003;11
Kazakhstan;466.792;12
Mongolia;460.043;13
Solomon Islands;459.78;14
Micronesia (country);454.343;15
Belarus;443.129;16
Serbia;439.415;17
Kyrgyzstan;436.362;18
Central African Republic;435.727;19
Kiribati;434.657;20
Sudan;431.388;21
Russia;431.297;22
Haiti;430.548;23
Tajikistan;427.698;24
Bulgaria;424.688;25
Pakistan;423.031;26
Morocco;419.146;27
Fiji;412.82;28
Moldova;408.502;29
Madagascar;405.994;30
Lesotho;405.126;31
Montenegro;387.305;32
Guinea-Bissau;382.474;33
Syria;376.264;34
Guyana;373.159;35
Romania;370.946;36
Philippines;370.437;37
Laos;368.111;38
Somalia;365.769;39
Latvia;350.06;40
Samoa;348.977;41
Congo;344.094;42
Lithuania;342.989;43
Indonesia;342.864;44
Libya;341.862;45
Armenia;341.01;46
Guinea;336.717;47
East Timor;335.346;48
Eswatini;333.436;49
Gambia;331.43;50
Mozambique;329.942;51
Bosnia and Herzegovina;329.635;52
Sierra Leone;325.721;53
North Macedonia;322.688;54
North Korea;321.681;55
Tunisia;318.991;56
Democratic Republic of Congo;318.949;57
United Arab Emirates;317.84;58
Eritrea;311.11;59
Guam;310.496;60
Zimbabwe;307.846;61
Albania;304.195;62
Cote d'Ivoire;303.74;63
Ghana;298.245;64
Bangladesh;298.003;65
Burundi;293.068;66
Slovakia;287.959;67
American Samoa;283.75;68
India;282.28;69
Chad;280.995;70
South Sudan;280.775;71
Togo;280.033;72
Algeria;278.364;73
Hungary;278.296;74
Angola;276.045;75
United States Virgin Islands;273.67;76
Liberia;272.509;77
Cambodia;270.892;78
Iran;270.308;79
Sao Tome and Principe;270.113;80
Burkina Faso;269.048;81
Mali;268.024;82
Dominican Republic;266.653;83
Lebanon;266.591;84
Oman;266.342;85
Palestine;265.91;86
China;261.899;87
Comoros;261.516;88
Malaysia;260.942;89
Nepal;260.797;90
Gabon;259.967;91
Saudi Arabia;259.538;92
Suriname;258.314;93
Djibouti;258.037;94
Estonia;255.569;95
Croatia;253.782;96
Saint Vincent and the Grenadines;252.675;97
Vietnam;245.465;98
Cameroon;244.661;99
Grenada;243.964;100
Namibia;243.811;101
Seychelles;242.648;102
Senegal;241.219;103
Honduras;240.208;104
Niger;238.339;105
Botswana;237.372;106
Bahamas;235.954;107
Benin;235.848;108
Zambia;234.499;109
World;233.07;110
Mauritania;232.347;111
Trinidad and Tobago;228.467;112
Tonga;227.49;113
