"Country";"Death_per_mill_rank";"total_deaths_per_million"
"Peru";1;6601.11
"Bulgaria";2;5669.613
"North Macedonia";3;5422.131
"Bosnia and Herzegovina";4;5114.82
"Hungary";5;5065.206
"Croatia";6;4799.552
"Slovenia";7;4766.858
"Georgia";8;4519.362
"Montenegro";9;4317.904
"Czechia";10;4076.466
"Moldova";11;4027.978
"Latvia";12;3973.828
"Slovakia";13;3878.357
"Greece";14;3770.283
"San Marino";15;3693.606
"Romania";16;3590.849
"Lithuania";17;3482.525
"United Kingdom";18;3404.434
"Brazil";19;3338.538
"Italy";20;3309.459
"Chile";21;3208.198
"Martinique";22;3159.151
"Poland";23;3145.075
"Armenia";24;3046.635
"Gibraltar";25;3002.844
"Belgium";26;2949.626
"Paraguay";27;2940.628
"Trinidad and Tobago";28;2934.645
"Argentina";29;2877.538
"European Union (27)";30;2812.18
"Russia";31;2769.531
"Portugal";32;2765.556
"Colombia";33;2758.652
"Aruba";34;2708.921
"Ukraine";35;2677.79
"Serbia";36;2658.875
"Guadeloupe";37;2653.995
"Sweden";38;2612.58
"Mexico";39;2601.22
"Bermuda";40;2547.397
"Guam";41;2536.427
"Austria";42;2485.912
"Tunisia";43;2427.773
"French Polynesia";44;2318.208
"Saint Lucia";45;2293.142
"Uruguay";46;2265.466
"Liechtenstein";47;2262.558
"Suriname";48;2256.195
"Estonia";49;2220.589
"Sint Maarten (Dutch part)";50;2182.008
"Bahamas";51;2135.612
"Barbados";52;2100.424
"Finland";53;2058.787
"Grenada";54;2035.441
"Ecuador";55;2022.565
"Andorra";56;1994.431
"Panama";57;1987.833
"Ireland";58;1906.844
"Lebanon";59;1905.651
"Kosovo";60;1869.67
"Bolivia";61;1853.665
"Costa Rica";62;1844.241
"Puerto Rico";63;1832.167
"Montserrat";64;1787.31
"Malta";65;1745.571
"Monaco";66;1720.198
"Belize";67;1708.294
"British Virgin Islands";68;1669.101
"Curacao";69;1645.527
"South Africa";70;1644.72
"Denmark";71;1642.075
"Iran";72;1640.192
"Switzerland";73;1611.659
"Saint Martin (French part)";74;1591.806
"Guyana";75;1584.643
"Antigua and Barbuda";76;1572.412
"Jersey";77;1555.661
"Luxembourg";78;1530.653
"United States Virgin Islands";79;1525.641
"Bonaire Sint Eustatius and Saba";80;1430.865
"Canada";81;1424.014
