,human_development_index,weekly_hosp_admissions,tests_per_case,new_cases,total_deaths,new_vaccinations_smoothed_per_million,new_deaths_smoothed_per_million,population,total_vaccinations,total_cases,new_tests,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,extreme_poverty,positive_rate,total_boosters_per_hundred,handwashing_facilities,new_vaccinations_smoothed,new_cases_per_million,total_boosters,aged_70_older,new_vaccinations,hospital_beds_per_thousand,new_cases_smoothed_per_million,total_vaccinations_per_hundred,new_deaths_smoothed,new_tests_per_thousand,last_updated_date,new_tests_smoothed,people_vaccinated,people_fully_vaccinated,new_people_vaccinated_smoothed_per_hundred,diabetes_prevalence,total_tests,total_deaths_per_million,new_people_vaccinated_smoothed,continent,excess_mortality,excess_mortality_cumulative,cardiovasc_death_rate,total_cases_per_million,stringency_index,new_deaths,icu_patients,tests_units,gdp_per_capita,total_tests_per_thousand,aged_65_older,excess_mortality_cumulative_absolute,weekly_hosp_admissions_per_million,life_expectancy,new_cases_smoothed,new_deaths_per_million,female_smokers,hosp_patients,male_smokers,population_density,icu_patients_per_million,location,new_tests_smoothed_per_thousand,hosp_patients_per_million,excess_mortality_cumulative_per_million,weekly_icu_admissions,reproduction_rate,median_age,people_fully_vaccinated_per_hundred
AFG,0.511,,,0.0,7998.0,,0.0,41128772.0,,235214.0,,,,,,,37.746,,0.0,,1.337,,0.5,0.0,,0.0,,2024-08-04,,,,,9.59,,197.098,,Asia,,,597.029,5796.468,,0.0,,,1803.987,,2.581,,,64.83,0.0,0.0,,,,54.422,,Afghanistan,,,,,,18.6,
OWID_AFR,,,,36.0,259117.0,,0.0,1426736614.0,,13145380.0,,,,,,,,,0.025,,,,,0.004,,0.0,,2024-08-04,,,,,,,179.157,,,,,,9088.877,,0.0,,,,,,,,,5.143,0.0,,,,,,Africa,,,,,,,
ALB,0.795,,,0.0,3605.0,,0.0,2842318.0,,335047.0,,,,1.1,,,,,0.0,,8.643,,2.89,0.0,,0.0,,2024-08-04,,,,,10.08,,1274.926,,Europe,,,304.195,118491.02,,0.0,,,11803.431,,13.188,,,78.57,0.0,0.0,7.1,,51.2,104.871,,Albania,,,,,,38.0,
DZA,0.748,,,18.0,6881.0,,0.0,44903228.0,,272139.0,,,,0.5,,,83.741,,0.396,,3.857,,1.9,0.057,,0.0,,2024-08-04,,,,,6.73,,151.306,,Africa,,,278.364,5984.05,,0.0,,,13913.839,,6.211,,,76.88,2.571,0.0,0.7,,30.4,17.348,,Algeria,,,,,,29.1,
ASM,,,,0.0,34.0,,0.0,44295.0,,8359.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,702.988,,Oceania,,,283.75,172831.6,,0.0,,,,,,,,73.74,0.0,0.0,,,,278.205,,American Samoa,,,,,,,
AND,0.868,,,0.0,159.0,,0.0,79843.0,,48015.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,7.97,,1994.431,,Europe,,,109.135,602280.44,,0.0,,,,,,,,83.73,0.0,0.0,29.0,,37.8,163.755,,Andorra,,,,,,,
AGO,0.581,,,0.0,1937.0,,0.0,35588996.0,,107481.0,,,,,,,26.664,,0.0,,1.362,,,0.0,,0.0,,2024-08-04,,,,,3.94,,54.357,,Africa,,,276.045,3016.162,,0.0,,,5819.495,,2.405,,,61.15,0.0,0.0,,,,23.89,,Angola,,,,,,16.8,
AIA,,,,0.0,12.0,,0.0,15877.0,,3904.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,844.951,,North America,,,,274890.88,,0.0,,,,,,,,81.88,0.0,0.0,,,,,,Anguilla,,,,,,,
ATG,0.778,,,0.0,146.0,,0.0,93772.0,,9106.0,,,,,,,,,0.0,,4.631,,3.8,0.0,,0.0,,2024-08-04,,,,,13.17,,1572.412,,North America,,,191.511,98071.1,,0.0,,,21490.943,,6.933,,,77.02,0.0,0.0,,,,231.845,,Antigua and Barbuda,,,,,,32.1,
ARG,0.845,,,54.0,130663.0,,0.003,45510324.0,,10101218.0,,,,0.6,,,,,1.189,,7.441,,5.0,0.17,,0.143,,2024-08-04,,,,,5.5,,2877.538,,South America,,,191.032,222455.06,,1.0,,,18933.907,,11.198,,,76.67,7.714,0.022,16.2,,27.7,16.177,,Argentina,,,,,,31.9,
