date,province,total_confirmed,total_released,total_deceased
2020-01-01,30,39439,2933,310
2020-01-01,40,127228,110664,3150
2020-01-01,50,1982,1835,58
2020-01-01,Busan,1466,1135,27
2020-01-01,Chungcheongbuk-do,627,404,0
2020-01-01,Chungcheongnam-do,1982,1383,0
2020-01-01,Daegu,60464,50808,1469
2020-01-01,Daejeon,820,579,11
2020-01-01,Gangwon-do,324,189,10
2020-01-01,Gwangju,406,351,0
2020-01-01,Gyeonggi-do,13624,8692,268
2020-01-01,Gyeongsangbuk-do,15065,9420,459
2020-01-01,Gyeongsangnam-do,1526,1280,0
2020-01-01,Incheon,2178,1263,3
2020-01-01,Jeju-do,204,130,0
2020-01-01,Jeollabuk-do,224,182,0
2020-01-01,Jeollanam-do,169,118,0
2020-01-01,Sejong,542,299,0
2020-01-01,Seoul,8478,4835,24
2020-01-01,Ulsan,764,529,13
2020-01-20,Busan,0,0,0
2020-01-20,Chungcheongnam-do,0,0,0
2020-01-20,Gyeongsangbuk-do,0,0,0
2020-01-20,Gyeongsangnam-do,0,0,0
2020-01-20,Sejong,0,0,0
2020-01-21,Daegu,0,0,0
2020-01-21,Daejeon,0,0,0
2020-01-21,Gangwon-do,0,0,0
2020-01-21,Gyeongsangbuk-do,0,0,0
2020-01-21,Jeollanam-do,0,0,0
2020-01-22,Daegu,0,0,0
2020-01-22,Gangwon-do,0,0,0
2020-01-22,Jeollanam-do,0,0,0
2020-01-23,Daegu,0,0,0
2020-01-23,Gangwon-do,0,0,0
2020-01-23,Gyeongsangbuk-do,0,0,0
2020-01-24,Busan,0,0,0
2020-01-24,Daegu,0,0,0
2020-01-24,Daejeon,0,0,0
2020-01-24,Gangwon-do,0,0,0
2020-01-24,Gyeongsangnam-do,0,0,0
2020-01-24,Ulsan,0,0,0
2020-01-25,Chungcheongbuk-do,0,0,0
2020-01-25,Incheon,1,0,0
2020-01-25,Jeju-do,0,0,0
2020-01-26,Daegu,0,0,0
2020-01-26,Gyeonggi-do,2,0,0
2020-01-26,Gyeongsangbuk-do,0,0,0
2020-01-26,Jeollanam-do,0,0,0
2020-01-27,Daegu,0,0,0
2020-01-27,Gangwon-do,0,0,0
2020-01-27,Jeollabuk-do,0,0,0
2020-01-28,Busan,0,0,0
2020-01-28,Chungcheongbuk-do,0,0,0
2020-01-28,Daejeon,0,0,0
2020-01-28,Gyeongsangbuk-do,0,0,0
2020-01-28,Ulsan,0,0,0
2020-01-29,Chungcheongnam-do,0,0,0
2020-01-29,Gwangju,0,0,0
2020-01-29,Gyeonggi-do,2,0,0
2020-01-29,Incheon,1,0,0
2020-01-29,Jeju-do,0,0,0
2020-01-30,Daejeon,0,0,0
2020-01-30,Gangwon-do,0,0,0
2020-01-30,Gwangju,0,0,0
2020-01-30,Gyeonggi-do,3,0,0
2020-01-30,Jeollabuk-do,0,0,0
2020-01-31,Daejeon,0,0,0
2020-01-31,Gangwon-do,0,0,0
2020-01-31,Gyeonggi-do,5,0,0
2020-01-31,Jeollabuk-do,1,0,0
2020-01-31,Jeollanam-do,0,0,0
2020-01-31,Seoul,4,0,0
2020-02-01,Busan,0,0,0
2020-02-01,Chungcheongnam-do,0,0,0
2020-02-01,Daejeon,0,0,0
2020-02-01,Jeju-do,0,0,0
2020-02-02,Chungcheongnam-do,0,0,0
2020-02-02,Jeju-do,0,0,0
2020-02-02,Seoul,5,0,0
2020-02-02,Ulsan,0,0,0
2020-02-03,Chungcheongbuk-do,0,0,0
2020-02-03,Daejeon,0,0,0
2020-02-03,Gangwon-do,0,0,0
2020-02-03,Gyeongsangbuk-do,0,0,0
2020-02-03,Gyeongsangnam-do,0,0,0
2020-02-04,Busan,0,0,0
2020-02-04,Daegu,0,0,0
2020-02-04,Gyeongsangbuk-do,0,0,0
2020-02-04,Ulsan,0,0,0
2020-02-05,30,0,0,0
2020-02-05,Chungcheongbuk-do,0,0,0
2020-02-05,Daegu,0,0,0
2020-02-05,Gyeongsangbuk-do,0,0,0
2020-02-05,Jeollanam-do,0,0,0
2020-02-06,Daegu,0,0,0
2020-02-06,Jeju-do,0,0,0
2020-02-06,Jeollabuk-do,1,0,0
2020-02-06,Ulsan,0,0,0
2020-02-07,Chungcheongbuk-do,0,0,0
2020-02-07,Daejeon,0,0,0
2020-02-07,Gyeongsangbuk-do,0,0,0
2020-02-07,Jeollanam-do,0,0,0
2020-02-07,Seoul,11,1,0
2020-02-08,Busan,0,0,0
2020-02-08,Chungcheongbuk-do,0,0,0
2020-02-08,Daejeon,0,0,0
2020-02-08,Gangwon-do,0,0,0
2020-02-08,Gyeongsangbuk-do,0,0,0
2020-02-08,Jeollanam-do,0,0,0
2020-02-08,Ulsan,0,0,0
2020-02-09,Busan,0,0,0
2020-02-09,Gyeongsangbuk-do,0,1,0
2020-02-09,Jeollabuk-do,1,0,0
2020-02-09,Ulsan,0,0,0
2020-02-10,Busan,0,0,0
2020-02-10,Jeju-do,0,0,0
2020-02-10,Jeollanam-do,0,0,0
2020-02-10,Sejong,0,0,0
2020-02-11,Chungcheongbuk-do,0,0,0
2020-02-11,Daejeon,0,0,0
2020-02-12,Daejeon,0,0,0
2020-02-12,Gangwon-do,0,0,0
2020-02-12,Gwangju,1,0,0
2020-02-12,Jeollabuk-do,1,0,0
2020-02-12,Seoul,14,2,0
2020-02-13,Gyeonggi-do,12,5,0
2020-02-13,Incheon,1,1,0
2020-02-13,Jeollabuk-do,1,1,0
2020-02-13,Sejong,0,0,0
2020-02-14,Gwangju,1,0,0
2020-02-14,Gyeonggi-do,12,5,0
2020-02-14,Gyeongsangnam-do,0,0,0
2020-02-14,Seoul,14,2,0
2020-02-15,Chungcheongbuk-do,0,0,0
2020-02-15,Incheon,1,1,0
2020-02-15,Jeju-do,0,0,0
2020-02-16,Daegu,0,0,0
2020-02-16,Gyeonggi-do,12,5,0
2020-02-16,Incheon,1,1,0
2020-02-16,Jeollabuk-do,1,1,0
2020-02-16,Jeollanam-do,0,0,0
2020-02-17,Jeju-do,0,0,0
2020-02-17,Jeollabuk-do,1,1,0
2020-02-17,Seoul,14,3,0
2020-02-17,Ulsan,0,0,0
2020-02-18,Chungcheongbuk-do,0,0,0
2020-02-18,Gyeongsangnam-do,0,0,0
2020-02-18,Sejong,0,0,0
2020-02-19,Daegu,11,0,0
2020-02-19,Gangwon-do,0,0,0
2020-02-19,Gyeongsangbuk-do,2,1,0
2020-02-19,Jeollanam-do,0,0,0
2020-02-20,Busan,8,0,0
2020-02-20,Gyeonggi-do,12,7,0
2020-02-20,Jeollanam-do,0,0,0
2020-02-21,Busan,8,0,0
2020-02-21,Chungcheongbuk-do,1,0,0
2020-02-21,Daejeon,0,0,0
2020-02-21,Gyeongsangbuk-do,28,1,1
2020-02-21,Jeollanam-do,0,0,0
2020-02-22,Chungcheongnam-do,1,0,0
2020-02-22,Daegu,193,0,0
2020-02-22,Jeju-do,1,0,0
2020-02-22,Jeollabuk-do,3,1,0
2020-02-22,Ulsan,1,0,0
2020-02-23,Chungcheongbuk-do,3,0,0
2020-02-23,Chungcheongnam-do,1,0,0
2020-02-23,Daejeon,3,0,0
2020-02-23,Gyeongsangbuk-do,170,1,3
2020-02-23,Gyeongsangnam-do,17,0,0
2020-02-23,Ulsan,1,0,0
2020-02-24,Chungcheongbuk-do,3,0,0
2020-02-24,Daegu,483,0,2
2020-02-24,Gyeongsangnam-do,20,0,0
2020-02-24,Sejong,1,0,0
2020-02-24,Ulsan,2,0,0
2020-02-25,30,9,2,0
2020-02-25,Incheon,2,1,0
2020-02-25,Jeollabuk-do,3,1,0
2020-02-25,Jeollanam-do,1,0,0
2020-02-25,Sejong,1,0,0
2020-02-26,Daegu,710,1,6
2020-02-26,Gyeonggi-do,51,8,1
2020-02-26,Jeju-do,2,0,0
2020-02-26,Jeollanam-do,1,0,0
2020-02-27,Gwangju,9,2,0
2020-02-27,Gyeonggi-do,62,8,1
2020-02-27,Jeollabuk-do,5,1,0
2020-02-27,Jeollanam-do,1,0,0
2020-02-27,Seoul,56,8,0
2020-02-28,Chungcheongbuk-do,9,0,0
2020-02-28,Gwangju,9,2,0
2020-02-28,Jeollanam-do,1,0,0
2020-02-28,Seoul,62,9,0
2020-02-29,Chungcheongnam-do,55,0,0
2020-02-29,Daejeon,13,0,0
2020-02-29,Seoul,77,9,0
2020-02-29,Ulsan,17,0,0
2020-03-01,Chungcheongnam-do,68,0,0
2020-03-01,Daejeon,13,0,0
2020-03-01,Gyeongsangnam-do,63,1,0
2020-03-01,Jeollabuk-do,6,1,0
2020-03-01,Seoul,87,11,0
2020-03-02,Daegu,3081,7,15
2020-03-02,Gangwon-do,19,0,0
2020-03-02,Gyeongsangnam-do,64,1,0
2020-03-02,Incheon,7,1,0
2020-03-02,Jeollabuk-do,6,1,0
2020-03-03,Gwangju,11,2,0
2020-03-03,Gyeonggi-do,94,8,1
2020-03-03,Incheon,7,1,0
2020-03-03,Jeju-do,3,0,0
2020-03-03,Jeollabuk-do,7,1,0
2020-03-03,Jeollanam-do,5,0,0
2020-03-03,Sejong,1,0,0
2020-03-04,Chungcheongbuk-do,11,0,0
2020-03-04,Gwangju,13,2,0
2020-03-04,Seoul,99,19,0
2020-03-05,Jeollanam-do,4,0,0
2020-03-05,Sejong,1,0,0
2020-03-05,Seoul,103,25,0
2020-03-06,Busan,95,2,0
2020-03-06,Chungcheongnam-do,90,0,0
2020-03-06,Jeju-do,4,0,0
2020-03-06,Sejong,1,0,0
2020-03-07,Busan,96,2,0
2020-03-07,Chungcheongbuk-do,20,1,0
2020-03-07,Daejeon,18,0,0
2020-03-07,Gyeongsangnam-do,82,4,0
2020-03-07,Jeju-do,4,0,0
